FECHA VENTA,ANIO VENTA,MES VENTA,DIA VENTA,CODIGO MUNICIPIO_DANE,MUNICIPIO INSTALACION,LATITUD,LONGITUD,EDS ACTIVAS,NUMERO DE VENTAS,VEHICULOS ATENDIDOS,CANTIDAD VOLUMEN SUMINISTRADO
08/14/2023 12:00:00 AM,2023,8,14,15152,DUITAMA,58906025887,-730670928955,2,195,150,2125.08
08/30/2023 12:00:00 AM,2023,8,30,15152,DUITAMA,58906025887,-730670928955,2,204,158,2272.01
08/23/2023 12:00:00 AM,2023,8,23,15150,TUNJA,55184726715,-733780212402,2,423,319,4768.86
08/02/2023 12:00:00 AM,2023,8,2,15157,SOGAMOSO,56466722488,-728709564209,1,234,169,2369.93
08/14/2023 12:00:00 AM,2023,8,14,15150,TUNJA,55184726715,-733780212402,2,398,297,4613.78
08/06/2023 12:00:00 AM,2023,8,6,15152,DUITAMA,58906025887,-730670928955,2,171,129,1727.21
08/03/2023 12:00:00 AM,2023,8,3,15152,DUITAMA,58906025887,-730670928955,2,191,153,2187.62
08/14/2023 12:00:00 AM,2023,8,14,15151,CHIQUINQUIRA,56224880219,-738042449951,2,358,274,3147.94
08/22/2023 12:00:00 AM,2023,8,22,15152,DUITAMA,58906025887,-730670928955,2,203,155,2082.28
08/13/2023 12:00:00 AM,2023,8,13,15151,CHIQUINQUIRA,56224880219,-738042449951,2,360,243,2883.3
08/05/2023 12:00:00 AM,2023,8,5,15152,DUITAMA,58906025887,-730670928955,2,227,169,2813.24
08/26/2023 12:00:00 AM,2023,8,26,15152,DUITAMA,58906025887,-730670928955,2,215,159,2798.09
08/25/2023 12:00:00 AM,2023,8,25,15157,SOGAMOSO,56466722488,-728709564209,1,247,177,2214.01
08/08/2023 12:00:00 AM,2023,8,8,15151,CHIQUINQUIRA,56224880219,-738042449951,2,346,247,2857.85
08/20/2023 12:00:00 AM,2023,8,20,15157,SOGAMOSO,56466722488,-728709564209,1,210,138,1825.36
08/20/2023 12:00:00 AM,2023,8,20,15152,DUITAMA,58906025887,-730670928955,2,169,127,1486.4
08/21/2023 12:00:00 AM,2023,8,21,15157,SOGAMOSO,56466722488,-728709564209,1,208,148,1666.23
08/03/2023 12:00:00 AM,2023,8,3,15151,CHIQUINQUIRA,56224880219,-738042449951,2,381,273,3336.63
08/03/2023 12:00:00 AM,2023,8,3,15157,SOGAMOSO,56466722488,-728709564209,1,235,170,2057.04
08/19/2023 12:00:00 AM,2023,8,19,15157,SOGAMOSO,56466722488,-728709564209,1,269,173,2308.86
08/06/2023 12:00:00 AM,2023,8,6,15151,CHIQUINQUIRA,56224880219,-738042449951,1,335,228,2487.36
08/15/2023 12:00:00 AM,2023,8,15,15157,SOGAMOSO,56466722488,-728709564209,1,239,167,2138.55
08/16/2023 12:00:00 AM,2023,8,16,15157,SOGAMOSO,56466722488,-728709564209,1,224,158,2014.55
08/25/2023 12:00:00 AM,2023,8,25,15150,TUNJA,55184726715,-733780212402,2,448,318,5263.44
08/19/2023 12:00:00 AM,2023,8,19,15151,CHIQUINQUIRA,56224880219,-738042449951,2,438,319,3811.65
08/31/2023 12:00:00 AM,2023,8,31,15150,TUNJA,55184726715,-733780212402,2,415,310,4822.52
08/21/2023 12:00:00 AM,2023,8,21,15150,TUNJA,55184726715,-733780212402,2,350,282,3487.43
08/22/2023 12:00:00 AM,2023,8,22,15150,TUNJA,55184726715,-733780212402,2,460,322,5267.55
08/23/2023 12:00:00 AM,2023,8,23,15157,SOGAMOSO,56466722488,-728709564209,1,211,148,1826.13
08/04/2023 12:00:00 AM,2023,8,4,15152,DUITAMA,58906025887,-730670928955,2,228,164,2763.21
08/01/2023 12:00:00 AM,2023,8,1,15152,DUITAMA,58906025887,-730670928955,2,210,165,2433.12
08/01/2023 12:00:00 AM,2023,8,1,15150,TUNJA,55184726715,-733780212402,2,414,286,4468.94
